brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
32304.0,for_sale,239000.0,3.0,5.0,0.02,868579.0,East Point,Georgia,30344.0,1492.0,2022-05-20 00:00:00
104212.0,for_sale,108500.0,3.0,3.0,0.15,1628527.0,Salamanca,New York,14779.0,2918.0,1999-09-03 00:00:00
52952.0,for_sale,73999.0,3.0,1.0,0.17,1238396.0,Kankakee,Illinois,60901.0,1000.0,2010-08-13 00:00:00
11271.0,for_sale,390000.0,4.0,3.0,0.0,1424942.0,Atlanta,Georgia,30349.0,2692.0,2018-10-10 00:00:00
30752.0,for_sale,275000.0,3.0,2.0,11.06,1539956.0,Catawissa,Pennsylvania,17820.0,1752.0,N/A
98417.0,for_sale,687000.0,2.0,2.0,0.0,1047910.0,Palm Beach,Florida,33480.0,1420.0,N/A
30807.0,for_sale,949900.0,5.0,4.0,0.17,363195.0,Winter Garden,Florida,34787.0,4436.0,2021-02-10 00:00:00
55346.0,for_sale,519000.0,4.0,2.0,0.25,1767819.0,Windermere,Florida,34786.0,2063.0,2001-02-05 00:00:00
52928.0,for_sale,399900.0,3.0,2.0,0.0,488810.0,Philadelphia,Pennsylvania,19130.0,1432.0,2007-09-25 00:00:00
19809.0,for_sale,1095000.0,2.0,3.0,0.0,1295636.0,Miami,Florida,33132.0,1390.0,2018-06-06 00:00:00
45326.0,for_sale,69900.0,5.0,1.0,0.08,1359866.0,Niagara Falls,New York,14303.0,892.0,N/A
0.0,for_sale,80000.0,3.0,2.0,0.12,1285332.0,Dayton,Ohio,45405.0,2040.0,2013-09-27 00:00:00
9315.0,for_sale,359900.0,1.0,1.0,0.0,1278705.0,Panama City Beach,Florida,32408.0,900.0,N/A
36503.0,for_sale,135000.0,2.0,2.0,0.0,42928.0,Grand Island,Florida,32735.0,1776.0,N/A
946.0,for_sale,315000.0,1.0,1.0,0.0,1144186.0,Chicago,Illinois,60654.0,861.0,N/A
87097.0,for_sale,995000.0,4.0,5.0,38.23,592351.0,Schenectady,New York,12306.0,7467.0,2002-07-17 00:00:00
10437.0,for_sale,565000.0,4.0,4.0,0.09,498514.0,Smyrna,Georgia,30080.0,2725.0,2016-03-18 00:00:00
82615.0,for_sale,524900.0,3.0,3.0,7.46,558428.0,Cable,Ohio,43009.0,1636.0,2001-02-15 00:00:00
107768.0,for_sale,297000.0,3.0,2.0,0.13,1789735.0,Crowley,Texas,76036.0,1694.0,2014-11-17 00:00:00
11697.0,for_sale,368000.0,2.0,2.0,0.0,18247.0,Sunny Isles Beach,Florida,33160.0,1331.0,N/A
33968.0,for_sale,365000.0,4.0,4.0,0.1,881047.0,Forney,Texas,75126.0,2218.0,2019-08-01 00:00:00
